,Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance,CallDuration,CallHourStart,CallMinStart
191,192,35,unemployed,divorced,primary,0,118,0,0,,20,jun,4,-1,0,,2021-12-04 16:57:51,2021-12-04 16:58:03,0,12.0,16,57
2890,2891,47,technician,married,secondary,0,636,0,0,cellular,4,aug,2,-1,0,,2021-12-04 13:32:18,2021-12-04 13:39:14,0,416.0,13,32
2705,2706,36,services,single,secondary,0,948,0,1,cellular,29,jan,2,-1,0,,2021-12-04 09:28:28,2021-12-04 09:30:00,0,92.0,9,28
3706,3707,26,management,single,tertiary,0,943,0,0,cellular,11,nov,1,195,1,success,2021-12-04 12:44:48,2021-12-04 12:47:34,1,166.0,12,44
2056,2057,33,blue-collar,married,secondary,0,139,1,1,cellular,18,may,2,291,5,failure,2021-12-04 09:23:29,2021-12-04 09:35:41,1,732.0,9,23
1429,1430,55,management,single,tertiary,0,430,0,0,cellular,29,aug,4,-1,0,,2021-12-04 13:10:35,2021-12-04 13:11:54,0,79.0,13,10
1949,1950,32,admin.,married,secondary,0,0,1,0,cellular,30,jul,5,-1,0,,2021-12-04 10:01:19,2021-12-04 10:02:30,0,71.0,10,1
3850,3851,49,management,married,tertiary,0,2881,0,0,cellular,2,mar,3,-1,0,,2021-12-04 09:24:54,2021-12-04 09:26:54,1,120.00000000000001,9,24
487,488,41,blue-collar,married,primary,0,6596,1,0,cellular,20,nov,1,-1,0,,2021-12-04 15:42:47,2021-12-04 15:44:15,0,88.0,15,42
606,607,55,housemaid,married,primary,0,0,1,0,cellular,17,jul,2,-1,0,,2021-12-04 17:05:06,2021-12-04 17:26:49,1,1303.0,17,5
875,876,26,management,single,tertiary,0,1646,0,0,cellular,18,sep,5,-1,0,,2021-12-04 12:33:42,2021-12-04 12:48:32,1,890.0,12,33
584,585,31,technician,married,secondary,0,684,1,0,cellular,7,dec,3,-1,0,,2021-12-04 15:00:44,2021-12-04 15:11:04,1,620.0,15,0
1498,1499,49,entrepreneur,divorced,secondary,0,2908,0,0,,6,jun,1,-1,0,,2021-12-04 10:10:27,2021-12-04 10:15:49,0,322.0,10,10
171,172,44,blue-collar,married,secondary,0,16178,1,0,cellular,21,nov,1,-1,0,,2021-12-04 13:55:29,2021-12-04 14:00:26,0,297.0,13,55
578,579,27,blue-collar,single,secondary,0,294,1,1,,28,may,2,-1,0,,2021-12-04 13:53:29,2021-12-04 14:05:03,1,694.0,13,53
2639,2640,48,blue-collar,married,,0,2201,1,0,,29,may,2,-1,0,,2021-12-04 14:37:22,2021-12-04 14:43:26,0,364.0,14,37
3963,3964,56,housemaid,divorced,primary,1,1238,0,0,,5,jun,1,-1,0,,2021-12-04 15:20:43,2021-12-04 15:46:41,1,1558.0,15,20
1742,1743,59,management,married,tertiary,0,98417,0,0,telephone,20,nov,5,-1,0,,2021-12-04 10:51:42,2021-12-04 10:54:07,0,145.0,10,51
2994,2995,58,blue-collar,married,,0,64,0,1,cellular,21,jul,2,-1,0,,2021-12-04 14:43:52,2021-12-04 14:45:10,0,78.0,14,43
3977,3978,36,admin.,married,secondary,0,3268,0,0,cellular,9,apr,2,-1,0,,2021-12-04 17:35:10,2021-12-04 17:42:19,0,429.0,17,35
3598,3599,59,management,divorced,tertiary,0,258,1,0,telephone,29,oct,1,-1,0,,2021-12-04 16:51:54,2021-12-04 16:56:20,1,266.0,16,51
2545,2546,31,services,single,tertiary,0,1025,0,0,,20,may,3,-1,0,,2021-12-04 09:06:36,2021-12-04 09:07:48,0,72.0,9,6
1490,1491,41,self-employed,married,tertiary,0,0,1,0,telephone,29,apr,3,426,1,other,2021-12-04 13:53:13,2021-12-04 13:59:48,1,395.0,13,53
1445,1446,30,management,married,tertiary,0,1882,1,0,cellular,11,aug,5,-1,0,,2021-12-04 13:17:26,2021-12-04 13:21:35,0,249.00000000000003,13,17
2058,2059,37,management,married,tertiary,0,2283,0,0,cellular,6,aug,2,92,4,success,2021-12-04 12:38:51,2021-12-04 12:43:54,1,303.0,12,38
3111,3112,31,admin.,single,secondary,0,0,1,0,cellular,7,may,2,295,2,failure,2021-12-04 15:52:26,2021-12-04 16:07:21,1,895.0,15,52
2818,2819,64,housemaid,married,primary,0,768,0,0,cellular,15,jul,2,182,1,success,2021-12-04 13:05:53,2021-12-04 13:10:03,0,250.00000000000003,13,5
1899,1900,51,technician,married,tertiary,0,825,0,0,cellular,17,nov,3,-1,0,,2021-12-04 16:35:01,2021-12-04 16:51:18,1,977.0000000000001,16,35
922,923,43,services,married,tertiary,0,4216,0,0,cellular,24,dec,2,195,2,success,2021-12-04 14:12:10,2021-12-04 14:14:40,1,150.0,14,12
2853,2854,52,blue-collar,married,secondary,0,1027,0,0,cellular,23,jul,1,-1,0,,2021-12-04 10:22:38,2021-12-04 10:23:37,0,59.00000000000001,10,22
3991,3992,55,unemployed,single,tertiary,0,1513,1,0,,8,may,1,-1,0,,2021-12-04 17:02:58,2021-12-04 17:03:58,0,60.00000000000001,17,2
2167,2168,53,retired,married,primary,0,759,1,0,telephone,25,jul,5,-1,0,,2021-12-04 09:37:16,2021-12-04 09:48:58,0,702.0,9,37
1679,1680,41,management,married,tertiary,0,1272,1,0,cellular,17,nov,1,-1,0,,2021-12-04 17:19:04,2021-12-04 17:22:38,0,214.0,17,19
3038,3039,49,services,married,secondary,0,823,0,0,cellular,8,aug,4,-1,0,,2021-12-04 14:55:10,2021-12-04 15:08:10,1,780.0,14,55
631,632,36,admin.,married,secondary,0,11,1,0,cellular,2,oct,3,-1,0,,2021-12-04 12:01:19,2021-12-04 12:03:20,0,121.00000000000001,12,1
3220,3221,41,self-employed,single,tertiary,0,1755,0,0,,11,jun,10,-1,0,,2021-12-04 15:15:25,2021-12-04 15:17:57,0,152.0,15,15
1264,1265,37,blue-collar,married,secondary,0,604,1,0,cellular,7,oct,1,495,1,failure,2021-12-04 15:55:09,2021-12-04 16:01:20,1,371.0,15,55
2738,2739,59,management,single,tertiary,0,1180,0,0,cellular,30,jul,3,-1,0,,2021-12-04 13:42:14,2021-12-04 13:42:36,0,22.0,13,42
153,154,57,blue-collar,married,primary,0,3109,0,0,cellular,2,jun,2,-1,0,,2021-12-04 15:48:27,2021-12-04 15:56:29,1,482.00000000000006,15,48
332,333,61,management,married,secondary,0,985,0,0,cellular,18,aug,6,-1,0,,2021-12-04 12:54:59,2021-12-04 13:11:37,1,998.0000000000001,12,54
2656,2657,33,housemaid,single,tertiary,0,1107,1,0,cellular,18,mar,1,-1,0,,2021-12-04 14:00:26,2021-12-04 14:03:47,1,201.0,14,0
3245,3246,37,services,married,secondary,0,775,0,0,cellular,14,aug,2,-1,0,,2021-12-04 15:37:25,2021-12-04 15:39:55,1,150.0,15,37
854,855,33,technician,married,tertiary,0,525,1,1,cellular,30,jan,1,247,1,failure,2021-12-04 14:27:27,2021-12-04 14:35:46,0,499.00000000000006,14,27
3225,3226,34,services,single,secondary,0,528,1,0,cellular,2,sep,3,100,5,other,2021-12-04 15:27:24,2021-12-04 15:29:25,1,121.00000000000001,15,27
2953,2954,58,technician,married,secondary,0,1476,1,0,cellular,17,apr,1,-1,0,,2021-12-04 09:15:58,2021-12-04 09:20:44,0,286.0,9,15
2304,2305,31,management,single,tertiary,0,617,0,0,cellular,4,jun,1,97,2,success,2021-12-04 10:34:46,2021-12-04 10:54:07,1,1161.0,10,34
3826,3827,25,entrepreneur,single,tertiary,0,0,0,0,,25,jun,1,-1,0,,2021-12-04 09:57:14,2021-12-04 10:03:01,0,347.0,9,57
1896,1897,32,management,married,tertiary,0,2737,1,1,cellular,21,nov,4,182,1,failure,2021-12-04 09:49:52,2021-12-04 09:50:36,0,44.0,9,49
3294,3295,31,admin.,married,secondary,0,223,0,0,cellular,6,may,1,-1,0,,2021-12-04 10:51:58,2021-12-04 10:56:55,0,297.0,10,51
2449,2450,28,management,single,tertiary,0,223,1,0,telephone,27,aug,2,119,1,other,2021-12-04 15:43:05,2021-12-04 15:45:42,1,157.0,15,43
3697,3698,34,services,married,secondary,0,1076,0,0,cellular,12,may,1,182,6,success,2021-12-04 15:31:51,2021-12-04 15:34:23,1,152.0,15,31
2492,2493,46,blue-collar,married,secondary,0,640,1,0,cellular,12,mar,1,182,4,success,2021-12-04 09:12:21,2021-12-04 09:15:56,1,215.0,9,12
2713,2714,32,blue-collar,single,primary,0,18,1,1,cellular,6,may,1,-1,0,,2021-12-04 17:49:35,2021-12-04 17:54:40,0,305.0,17,49
1536,1537,41,management,married,tertiary,0,10758,1,0,cellular,1,jun,1,-1,0,,2021-12-04 15:37:44,2021-12-04 15:42:32,0,288.0,15,37
1457,1458,50,technician,divorced,secondary,0,636,1,0,cellular,6,may,2,254,23,other,2021-12-04 10:25:04,2021-12-04 10:27:11,0,127.00000000000001,10,25
1474,1475,29,self-employed,married,secondary,0,425,1,0,,5,jun,15,-1,0,,2021-12-04 16:30:53,2021-12-04 16:40:15,1,562.0,16,30
3858,3859,31,technician,single,secondary,0,942,0,0,cellular,8,aug,2,-1,0,,2021-12-04 15:54:31,2021-12-04 15:56:49,0,138.0,15,54
3305,3306,35,blue-collar,married,primary,0,-239,1,0,,26,may,1,-1,0,,2021-12-04 09:22:29,2021-12-04 09:27:10,0,281.0,9,22
1001,1002,35,self-employed,married,tertiary,0,1987,0,0,cellular,8,aug,3,-1,0,,2021-12-04 14:28:09,2021-12-04 14:33:44,0,335.0,14,28
1026,1027,62,retired,married,secondary,0,1495,0,0,cellular,13,oct,1,57,2,success,2021-12-04 16:31:38,2021-12-04 16:46:34,1,896.0,16,31
3964,3965,38,technician,single,secondary,0,1655,0,0,cellular,29,jul,2,-1,0,,2021-12-04 16:19:34,2021-12-04 16:26:06,0,392.0,16,19
3458,3459,35,self-employed,married,tertiary,0,1250,1,0,cellular,2,apr,1,136,1,other,2021-12-04 14:34:51,2021-12-04 14:40:52,0,361.0,14,34
94,95,39,blue-collar,married,secondary,0,293,1,0,,23,may,3,-1,0,,2021-12-04 14:48:50,2021-12-04 14:51:30,0,160.0,14,48
3438,3439,45,management,married,tertiary,0,385,0,1,cellular,31,jul,16,-1,0,,2021-12-04 13:28:34,2021-12-04 13:28:46,0,12.0,13,28
520,521,37,management,single,tertiary,0,240,0,0,,5,jun,1,-1,0,,2021-12-04 10:58:28,2021-12-04 11:17:11,1,1123.0,10,58
844,845,56,entrepreneur,divorced,primary,0,29,0,0,cellular,29,jan,2,227,1,failure,2021-12-04 13:24:32,2021-12-04 13:25:24,0,52.0,13,24
3532,3533,50,blue-collar,married,primary,0,4979,0,0,telephone,6,apr,1,-1,0,,2021-12-04 17:36:59,2021-12-04 17:39:59,1,180.0,17,36
674,675,57,management,married,tertiary,0,2266,0,0,cellular,5,aug,1,-1,0,,2021-12-04 17:21:04,2021-12-04 17:26:10,0,306.0,17,21
2923,2924,41,admin.,married,secondary,0,705,1,0,,13,may,1,-1,0,,2021-12-04 13:57:46,2021-12-04 14:01:11,0,205.0,13,57
3505,3506,43,management,married,tertiary,0,445,0,1,,20,jun,4,-1,0,,2021-12-04 13:33:19,2021-12-04 13:36:35,0,196.0,13,33
1227,1228,39,entrepreneur,divorced,secondary,0,-271,1,0,cellular,7,may,1,-1,0,,2021-12-04 11:53:29,2021-12-04 12:00:15,0,406.0,11,53
986,987,35,admin.,married,primary,0,-229,1,0,cellular,5,may,1,-1,0,,2021-12-04 14:25:28,2021-12-04 14:28:24,0,176.0,14,25
3327,3328,46,admin.,single,secondary,0,849,1,0,,5,jun,2,-1,0,,2021-12-04 13:07:48,2021-12-04 13:16:16,1,508.00000000000006,13,7
3137,3138,31,management,married,tertiary,0,3160,1,0,cellular,26,apr,2,-1,0,,2021-12-04 09:22:12,2021-12-04 09:33:40,1,688.0,9,22
1608,1609,25,services,single,secondary,0,3217,1,0,,28,may,1,-1,0,,2021-12-04 17:31:06,2021-12-04 17:31:30,0,24.0,17,31
1307,1308,46,retired,married,secondary,0,119,0,1,cellular,30,jul,2,-1,0,,2021-12-04 15:44:28,2021-12-04 15:45:53,0,85.0,15,44
760,761,48,management,married,tertiary,0,288,0,0,cellular,18,aug,3,-1,0,,2021-12-04 17:24:43,2021-12-04 17:34:28,0,585.0,17,24
1774,1775,65,housemaid,married,primary,0,715,0,0,cellular,11,mar,1,-1,0,,2021-12-04 12:59:20,2021-12-04 13:04:43,1,323.0,12,59
726,727,56,self-employed,married,,0,0,0,0,cellular,19,aug,1,-1,0,,2021-12-04 13:37:09,2021-12-04 13:39:19,0,130.0,13,37
3818,3819,42,blue-collar,married,primary,0,201,1,0,cellular,30,apr,1,85,2,failure,2021-12-04 09:43:48,2021-12-04 09:57:49,1,841.0,9,43
3732,3733,32,technician,single,tertiary,0,6746,0,0,cellular,11,nov,1,-1,0,,2021-12-04 14:22:37,2021-12-04 14:25:56,1,199.0,14,22
974,975,51,admin.,divorced,secondary,0,21,0,0,cellular,23,jul,17,-1,0,,2021-12-04 13:59:16,2021-12-04 14:00:09,0,53.0,13,59
2334,2335,39,blue-collar,married,secondary,0,285,1,1,,6,may,1,-1,0,,2021-12-04 14:37:39,2021-12-04 14:41:08,0,209.0,14,37
2055,2056,57,technician,divorced,secondary,0,3043,0,0,cellular,14,aug,2,-1,0,,2021-12-04 10:09:24,2021-12-04 10:21:11,1,707.0,10,9
1763,1764,51,management,married,tertiary,0,469,0,0,cellular,14,oct,1,182,3,success,2021-12-04 15:53:31,2021-12-04 16:01:42,1,491.00000000000006,15,53
3098,3099,42,admin.,divorced,secondary,0,2129,0,0,cellular,13,aug,1,182,2,other,2021-12-04 15:29:46,2021-12-04 15:40:19,1,633.0,15,29
1434,1435,34,blue-collar,single,secondary,1,-369,1,0,,23,may,2,-1,0,,2021-12-04 17:15:18,2021-12-04 17:21:11,0,353.0,17,15
254,255,58,blue-collar,married,primary,0,0,1,0,cellular,31,jul,25,-1,0,,2021-12-04 12:45:22,2021-12-04 12:45:27,0,5.0,12,45
649,650,61,retired,married,primary,0,56,0,0,cellular,7,sep,3,-1,0,,2021-12-04 16:55:44,2021-12-04 17:00:32,1,288.0,16,55
556,557,45,retired,married,primary,0,1152,0,0,,18,jun,2,-1,0,,2021-12-04 09:04:14,2021-12-04 09:08:08,0,234.00000000000003,9,4
2891,2892,33,management,married,tertiary,0,2604,0,0,cellular,8,aug,2,-1,0,,2021-12-04 14:17:28,2021-12-04 14:20:15,0,167.0,14,17
1961,1962,59,self-employed,married,primary,0,671,1,0,cellular,15,may,2,332,3,failure,2021-12-04 10:52:24,2021-12-04 10:53:21,0,57.0,10,52
885,886,53,unemployed,divorced,secondary,0,587,0,0,cellular,19,nov,1,-1,0,,2021-12-04 17:54:02,2021-12-04 18:03:23,1,561.0,17,54
1522,1523,42,technician,divorced,secondary,0,-78,1,1,cellular,29,jul,23,-1,0,,2021-12-04 17:32:43,2021-12-04 17:32:53,0,10.0,17,32
3136,3137,38,management,married,tertiary,0,1477,0,0,cellular,15,sep,3,769,2,failure,2021-12-04 10:59:22,2021-12-04 11:05:47,1,385.0,10,59
3328,3329,33,management,single,tertiary,1,-5,0,0,cellular,18,aug,4,-1,0,,2021-12-04 17:36:58,2021-12-04 17:39:05,0,127.00000000000001,17,36
562,563,29,management,single,,0,560,0,0,cellular,5,apr,1,307,1,failure,2021-12-04 17:15:15,2021-12-04 17:22:54,1,459.00000000000006,17,15
3040,3041,33,blue-collar,married,primary,0,217,1,0,cellular,20,apr,1,339,3,failure,2021-12-04 11:05:38,2021-12-04 11:08:56,0,198.0,11,5
3944,3945,45,entrepreneur,married,,0,3133,1,1,cellular,10,jul,1,-1,0,,2021-12-04 16:39:50,2021-12-04 16:53:14,1,804.0,16,39
1423,1424,29,management,married,tertiary,0,198,1,0,cellular,3,aug,1,-1,0,,2021-12-04 17:02:26,2021-12-04 17:22:05,0,1179.0,17,2
1675,1676,50,management,married,tertiary,0,332,1,0,,2,jun,4,-1,0,,2021-12-04 15:12:43,2021-12-04 15:13:51,0,68.0,15,12
347,348,36,technician,married,secondary,0,480,0,0,cellular,20,oct,1,-1,0,,2021-12-04 16:37:45,2021-12-04 16:41:18,1,213.0,16,37
2467,2468,55,retired,divorced,secondary,0,2204,0,0,cellular,22,feb,1,264,1,failure,2021-12-04 14:29:12,2021-12-04 14:33:33,1,261.0,14,29
2743,2744,39,technician,married,secondary,0,597,1,0,,21,may,2,-1,0,,2021-12-04 17:15:49,2021-12-04 17:20:47,0,298.0,17,15
655,656,51,admin.,married,secondary,0,241,0,0,cellular,7,dec,2,-1,0,,2021-12-04 14:24:08,2021-12-04 14:29:16,1,308.0,14,24
1476,1477,53,admin.,married,secondary,0,1796,0,0,telephone,16,mar,1,91,2,success,2021-12-04 14:20:22,2021-12-04 14:25:17,1,295.0,14,20
1112,1113,35,technician,married,secondary,0,150,0,0,cellular,18,aug,5,-1,0,,2021-12-04 17:27:26,2021-12-04 17:31:28,0,242.00000000000003,17,27
359,360,37,admin.,married,secondary,0,1110,1,0,telephone,22,jul,11,-1,0,,2021-12-04 12:37:01,2021-12-04 12:50:23,1,802.0,12,37
309,310,19,student,single,secondary,0,394,0,0,cellular,5,apr,3,-1,0,,2021-12-04 12:44:12,2021-12-04 12:49:39,1,327.0,12,44
2790,2791,49,technician,married,secondary,0,412,0,0,cellular,19,aug,8,-1,0,,2021-12-04 15:33:44,2021-12-04 15:55:17,1,1293.0,15,33
1895,1896,31,management,single,tertiary,0,924,0,0,cellular,27,feb,1,-1,0,,2021-12-04 11:56:11,2021-12-04 11:59:03,1,172.0,11,56
1453,1454,29,management,single,tertiary,0,428,0,0,cellular,22,may,2,-1,0,,2021-12-04 15:24:48,2021-12-04 15:29:41,1,293.0,15,24
2412,2413,27,unemployed,single,primary,0,9,0,1,cellular,9,jul,2,-1,0,,2021-12-04 10:57:49,2021-12-04 11:13:08,1,919.0000000000001,10,57
3771,3772,36,blue-collar,married,secondary,0,0,1,0,cellular,30,jul,6,-1,0,,2021-12-04 14:55:38,2021-12-04 14:58:42,0,184.0,14,55
91,92,33,blue-collar,single,secondary,0,-147,1,0,,30,may,2,-1,0,,2021-12-04 16:00:27,2021-12-04 16:11:19,0,652.0,16,0
1543,1544,49,management,married,secondary,0,99,1,0,cellular,6,may,2,343,1,failure,2021-12-04 15:05:15,2021-12-04 15:16:42,1,687.0,15,5
966,967,29,management,single,tertiary,0,1170,0,0,cellular,20,apr,1,-1,0,,2021-12-04 16:54:07,2021-12-04 17:01:40,1,453.0,16,54
3055,3056,18,student,single,,0,3,0,0,cellular,25,aug,2,-1,0,,2021-12-04 12:25:16,2021-12-04 12:27:26,1,130.0,12,25
3338,3339,45,management,married,tertiary,0,242,0,0,cellular,30,apr,1,-1,0,,2021-12-04 09:21:26,2021-12-04 09:31:13,1,587.0,9,21
970,971,42,unemployed,married,tertiary,0,576,0,0,cellular,27,feb,1,-1,0,,2021-12-04 09:46:40,2021-12-04 09:49:16,1,156.0,9,46
1945,1946,54,management,married,primary,0,3185,1,1,cellular,7,may,1,-1,0,,2021-12-04 11:43:24,2021-12-04 11:46:31,0,187.0,11,43
3920,3921,40,blue-collar,married,primary,0,2495,1,0,cellular,12,may,2,354,3,other,2021-12-04 14:00:52,2021-12-04 14:03:07,0,135.0,14,0
3167,3168,35,entrepreneur,single,tertiary,0,145,1,0,cellular,18,jul,2,-1,0,,2021-12-04 11:17:02,2021-12-04 11:30:21,1,799.0,11,17
1235,1236,39,technician,married,secondary,0,2266,0,0,cellular,18,feb,4,-1,0,,2021-12-04 15:17:19,2021-12-04 15:20:47,1,208.0,15,17
1704,1705,45,admin.,married,primary,0,-407,1,1,cellular,29,jan,2,224,18,other,2021-12-04 12:05:22,2021-12-04 12:13:45,0,503.00000000000006,12,5
2011,2012,39,admin.,married,secondary,0,168,0,0,cellular,6,oct,1,-1,0,,2021-12-04 14:09:40,2021-12-04 14:11:16,0,96.0,14,9
2615,2616,45,technician,married,secondary,0,1,1,0,cellular,17,nov,1,-1,0,,2021-12-04 11:02:44,2021-12-04 11:09:57,0,433.0,11,2
3170,3171,49,management,married,secondary,0,321,0,0,,9,jun,3,-1,0,,2021-12-04 17:10:43,2021-12-04 17:12:58,0,135.0,17,10
1665,1666,52,management,divorced,tertiary,0,3,0,0,,1,jul,1,-1,0,,2021-12-04 10:17:09,2021-12-04 10:17:37,0,28.0,10,17
3131,3132,49,admin.,divorced,secondary,0,1718,0,1,cellular,5,aug,1,-1,0,,2021-12-04 11:09:27,2021-12-04 11:12:58,1,211.0,11,9
376,377,38,blue-collar,married,secondary,0,2685,0,0,,20,jun,12,-1,0,,2021-12-04 17:55:46,2021-12-04 17:56:08,0,22.0,17,55
756,757,58,management,married,tertiary,0,1384,1,0,cellular,27,mar,1,-1,0,,2021-12-04 15:40:21,2021-12-04 15:46:03,1,342.0,15,40
3475,3476,36,management,married,tertiary,0,699,0,0,cellular,23,jul,1,-1,0,,2021-12-04 17:47:19,2021-12-04 17:49:24,0,125.00000000000001,17,47
3569,3570,47,management,married,tertiary,0,1224,0,0,cellular,21,aug,2,-1,0,,2021-12-04 15:57:48,2021-12-04 16:00:57,0,189.0,15,57
2882,2883,33,blue-collar,married,primary,0,3074,0,0,cellular,18,nov,1,-1,0,,2021-12-04 16:04:53,2021-12-04 16:16:12,0,679.0,16,4
3923,3924,32,services,single,tertiary,0,1743,1,0,cellular,1,apr,1,261,3,other,2021-12-04 13:13:18,2021-12-04 13:32:34,0,1156.0,13,13
1767,1768,44,entrepreneur,married,primary,0,5038,0,0,cellular,7,jul,7,-1,0,,2021-12-04 09:31:02,2021-12-04 09:34:21,0,199.0,9,31
1015,1016,29,entrepreneur,married,tertiary,0,3037,1,0,,27,may,3,-1,0,,2021-12-04 09:18:18,2021-12-04 09:18:52,0,34.0,9,18
22,23,31,management,single,tertiary,0,0,0,0,cellular,21,aug,2,-1,0,,2021-12-04 14:28:54,2021-12-04 14:32:32,0,218.0,14,28
496,497,36,student,single,secondary,0,17,0,0,cellular,22,apr,1,-1,0,,2021-12-04 12:32:28,2021-12-04 12:42:49,1,621.0,12,32
3761,3762,32,technician,single,secondary,0,0,0,0,cellular,18,aug,4,-1,0,,2021-12-04 13:27:29,2021-12-04 13:37:23,1,594.0,13,27
2373,2374,24,technician,single,secondary,0,598,0,0,cellular,12,may,1,182,2,success,2021-12-04 16:44:26,2021-12-04 16:57:08,1,762.0,16,44
2936,2937,47,entrepreneur,married,secondary,0,0,0,0,,5,jun,1,-1,0,,2021-12-04 14:18:02,2021-12-04 14:42:08,1,1446.0,14,18
3039,3040,47,blue-collar,married,secondary,0,243,1,0,cellular,4,feb,1,246,4,failure,2021-12-04 17:02:34,2021-12-04 17:06:14,0,220.0,17,2
381,382,39,services,married,secondary,0,3870,1,0,cellular,20,apr,1,-1,0,,2021-12-04 10:05:52,2021-12-04 10:07:04,0,72.0,10,5
2781,2782,55,entrepreneur,married,primary,0,298,1,0,,8,may,3,-1,0,,2021-12-04 09:19:09,2021-12-04 09:21:33,0,144.0,9,19
1587,1588,49,services,married,secondary,0,320,0,0,telephone,9,feb,4,-1,0,,2021-12-04 09:10:02,2021-12-04 09:42:53,1,1971.0000000000002,9,10
3099,3100,38,blue-collar,divorced,secondary,0,0,1,0,cellular,21,oct,1,183,4,success,2021-12-04 14:49:22,2021-12-04 14:58:58,1,576.0,14,49
3118,3119,38,self-employed,single,tertiary,0,5774,1,0,cellular,15,may,4,359,5,other,2021-12-04 16:56:10,2021-12-04 17:02:56,1,406.0,16,56
3509,3510,54,self-employed,divorced,tertiary,0,0,1,1,cellular,29,jan,3,-1,0,,2021-12-04 10:14:15,2021-12-04 10:19:24,0,309.0,10,14
672,673,55,housemaid,married,primary,0,2152,0,0,,19,jun,2,-1,0,,2021-12-04 09:32:58,2021-12-04 09:48:20,1,922.0000000000001,9,32
1433,1434,31,management,married,tertiary,0,140,0,0,cellular,6,feb,8,212,4,other,2021-12-04 17:50:14,2021-12-04 17:50:23,0,9.0,17,50
1595,1596,39,blue-collar,single,secondary,0,0,0,0,cellular,22,jul,4,-1,0,,2021-12-04 17:26:53,2021-12-04 17:41:17,1,864.0,17,26
555,556,56,entrepreneur,married,tertiary,0,693,0,0,cellular,22,jul,5,-1,0,,2021-12-04 15:10:43,2021-12-04 15:12:12,0,89.0,15,10
439,440,45,blue-collar,married,primary,0,121,0,0,cellular,29,aug,11,-1,0,,2021-12-04 15:04:14,2021-12-04 15:05:47,0,93.0,15,4
1218,1219,34,blue-collar,married,secondary,0,1454,1,0,cellular,11,feb,2,297,2,failure,2021-12-04 10:44:06,2021-12-04 10:47:57,1,231.00000000000003,10,44
2437,2438,31,blue-collar,married,secondary,0,150,1,0,telephone,14,may,2,-1,0,,2021-12-04 16:14:29,2021-12-04 16:15:37,0,68.0,16,14
1070,1071,58,blue-collar,married,secondary,0,602,1,0,cellular,13,may,1,-1,0,,2021-12-04 09:55:44,2021-12-04 09:59:05,0,201.0,9,55
1796,1797,31,management,single,tertiary,0,147,0,0,cellular,9,jun,2,92,3,success,2021-12-04 15:32:53,2021-12-04 15:35:36,1,163.0,15,32
35,36,39,blue-collar,married,secondary,0,300,1,0,cellular,14,may,1,-1,0,,2021-12-04 14:50:44,2021-12-04 14:59:10,0,506.00000000000006,14,50
1501,1502,26,self-employed,single,secondary,0,3676,0,0,cellular,7,apr,1,-1,0,,2021-12-04 12:07:31,2021-12-04 12:09:59,1,148.0,12,7
1338,1339,34,technician,single,secondary,0,1866,0,0,cellular,8,may,3,185,1,failure,2021-12-04 13:57:38,2021-12-04 13:59:52,0,134.0,13,57
3753,3754,37,services,married,secondary,0,775,0,1,cellular,25,jul,1,-1,0,,2021-12-04 11:09:28,2021-12-04 11:26:08,1,1000.0000000000001,11,9
2706,2707,58,management,divorced,tertiary,0,50,1,0,,3,jun,4,-1,0,,2021-12-04 11:20:57,2021-12-04 11:22:46,0,109.0,11,20
2019,2020,50,management,married,tertiary,0,89,0,0,,20,jun,2,-1,0,,2021-12-04 14:30:58,2021-12-04 14:31:33,0,35.0,14,30
1723,1724,38,technician,married,tertiary,0,0,0,0,,12,jun,2,-1,0,,2021-12-04 11:39:31,2021-12-04 11:41:23,0,112.0,11,39
3023,3024,31,entrepreneur,married,tertiary,0,425,1,0,cellular,11,may,2,-1,0,,2021-12-04 10:50:48,2021-12-04 10:52:24,0,96.0,10,50
901,902,45,blue-collar,divorced,primary,0,594,1,0,,29,may,2,-1,0,,2021-12-04 12:37:40,2021-12-04 12:51:33,1,833.0,12,37
2252,2253,58,blue-collar,married,primary,0,0,0,0,telephone,16,jul,6,-1,0,,2021-12-04 11:54:53,2021-12-04 12:04:11,0,558.0,11,54
1622,1623,33,services,single,secondary,0,0,1,0,,20,may,3,-1,0,,2021-12-04 17:55:15,2021-12-04 17:57:29,0,134.0,17,55
814,815,33,management,single,tertiary,0,637,0,0,cellular,14,aug,2,-1,0,,2021-12-04 11:13:23,2021-12-04 11:16:49,0,206.0,11,13
3738,3739,26,,divorced,secondary,0,-295,1,0,cellular,7,may,1,-1,0,,2021-12-04 09:59:39,2021-12-04 10:08:55,0,556.0,9,59
86,87,40,blue-collar,married,secondary,1,-94,1,1,,7,may,1,-1,0,,2021-12-04 11:24:19,2021-12-04 11:28:06,0,227.0,11,24
3512,3513,25,student,single,secondary,0,486,0,0,cellular,13,sep,3,199,4,failure,2021-12-04 13:33:03,2021-12-04 13:37:36,1,273.0,13,33
2514,2515,41,housemaid,married,secondary,0,879,0,0,,5,jun,2,-1,0,,2021-12-04 17:20:17,2021-12-04 17:37:50,1,1053.0,17,20
